country,tourists,percentage,airplane,train,ship,car,month,year
Λοιπά κράτη Αμερικής,3788,0.127,3788,0,0,0,ΙΟΥΛ,2011
Αυστραλία,27106,0.908,24238,0,2868,0,ΙΟΥΛ,2011
Λοιπά κράτη Ωκεανίας,2107,0.0706,1729,0,378,0,ΙΟΥΛ,2011
Βέλγιο,88903,2.652,85894,0,3009,0,ΑΥΓ,2011
Βουλγαρία,61736,1.841,3330,0,10960,47446,ΑΥΓ,2011
Γαλλία,274843,8.195,256523,0,18320,0,ΑΥΓ,2011
Γερμανία,423268,12.625,370295,0,29226,23747,ΑΥΓ,2011
Δανία,44074,1.314,42247,0,0,1827,ΑΥΓ,2011
Εσθονία,639,0.01906,639,0,0,0,ΑΥΓ,2011
Ην. Βασίλειο,395119,11.78,389700,0,4297,1122,ΑΥΓ,2011
Ιρλανδία,15110,0.4507,14441,0,669,0,ΑΥΓ,2011
Ισπανία,55705,1.661,54414,0,1291,0,ΑΥΓ,2011
Ιταλία,322240,9.61,206695,0,115144,401,ΑΥΓ,2011
Κύπρος,61669,1.839,61328,0,341,0,ΑΥΓ,2011
Λεττονία,2411,0.0719,1500,0,911,0,ΑΥΓ,2011
Λιθουανία,3615,0.1078,3615,0,0,0,ΑΥΓ,2011
Λουξεμβούργο,4191,0.125,3640,0,551,0,ΑΥΓ,2011
Μάλτα,638,0.01903,638,0,0,0,ΑΥΓ,2011
Ολλανδία,105082,3.135,99192,0,5890,0,ΑΥΓ,2011
Ουγγαρία,24410,0.728,18395,0,946,5069,ΑΥΓ,2011
Πολωνία,86205,2.57,85302,0,302,601,ΑΥΓ,2011
Πορτογαλία,8465,0.2524,8465,0,0,0,ΑΥΓ,2011
Ρουμανία,16841,0.5024,3610,0,3880,9351,ΑΥΓ,2011
Σλοβακία,15550,0.4639,14809,0,741,0,ΑΥΓ,2011
Σλοβενία,7651,0.2281,2579,0,5072,0,ΑΥΓ,2011
Σουηδία,65226,1.945,64797,0,429,0,ΑΥΓ,2011
Τσεχία,89630,2.674,89289,0,341,0,ΑΥΓ,2011
Φινλανδία,26442,0.7886,26442,0,0,0,ΑΥΓ,2011
Αλβανία,27989,0.835,0,0,1594,26395,ΑΥΓ,2011
Ελβετία,73805,2.201,64591,0,9214,0,ΑΥΓ,2011
Νορβηγία,37752,1.126,37168,0,584,0,ΑΥΓ,2011
Ισλανδία,0,0.0,0,0,0,0,ΑΥΓ,2011
Ρωσία,167081,4.984,165629,0,302,1150,ΑΥΓ,2011
Σερβία - Μαυροβούνιο,288142,8.59,3940,0,6087,278115,ΑΥΓ,2011
Λοιπά Κράτη Ευρώπης,294051,8.77,14339,0,2035,277677,ΑΥΓ,2011
Ιαπωνία,0,0.0,0,0,0,0,ΑΥΓ,2011
Ιράν,1634,0.04874,1634,0,0,0,ΑΥΓ,2011
Ισραήλ,28812,0.8594,28812,0,0,0,ΑΥΓ,2011
Κίνα,1704,0.0508,1704,0,0,0,ΑΥΓ,2011
Λίβανος - Συρία,501,0.01494,501,0,0,0,ΑΥΓ,2011
Ν. Κορέα,0,0.0,0,0,0,0,ΑΥΓ,2011
Τουρκία,40620,1.212,1389,0,4518,34713,ΑΥΓ,2011
Λοιπά κράτη Ασίας,1244,0.0371,1244,0,0,0,ΑΥΓ,2011
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΑΥΓ,2011
Νοτιοαφρικανική Ενωση,2234,0.06665,2234,0,0,0,ΑΥΓ,2011
Λοιπά κράτη Αφρικής,1902,0.05673,1902,0,0,0,ΑΥΓ,2011
Αργεντινή,3046,0.0908,3046,0,0,0,ΑΥΓ,2011
Βραζιλία,5756,0.1716,5756,0,0,0,ΑΥΓ,2011
Μεξικό,149,0.004444,0,0,149,0,ΑΥΓ,2011
Η.Π.Α.,55373,1.651,52064,0,1117,2192,ΑΥΓ,2011
Καναδάς,29953,0.8936,28488,0,1465,0,ΑΥΓ,2011
Λοιπά κράτη Αμερικής,1562,0.0466,1562,0,0,0,ΑΥΓ,2011
Αυστραλία,19170,0.572,18596,0,574,0,ΑΥΓ,2011
Λοιπά κράτη Ωκεανίας,4045,0.12067,3278,0,767,0,ΑΥΓ,2011
Αυστρία,12909,0.9033,9537,0,3372,0,ΟΚΤ,2011
Βέλγιο,16271,1.139,15454,0,817,0,ΟΚΤ,2011
Βουλγαρία,61967,4.336,2502,0,5060,54405,ΟΚΤ,2011
Γαλλία,91682,6.414,87645,0,4036,0,ΟΚΤ,2011
Γερμανία,314187,21.98,293792,0,16830,3566,ΟΚΤ,2011
Δανία,24541,1.718,24359,0,182,0,ΟΚΤ,2011
Εσθονία,0,0.0,0,0,0,0,ΟΚΤ,2011
Ην. Βασίλειο,225383,15.77,221619,0,3764,0,ΟΚΤ,2011
Ιρλανδία,2084,0.1459,1993,0,91,0,ΟΚΤ,2011
Ισπανία,1756,0.12286,1236,0,520,0,ΟΚΤ,2011
Ιταλία,33772,2.363,25766,0,8006,0,ΟΚΤ,2011
Κύπρος,33183,2.322,33086,0,97,0,ΟΚΤ,2011
Λεττονία,461,0.0323,461,0,0,0,ΟΚΤ,2011
Λιθουανία,0,0.0,0,0,0,0,ΟΚΤ,2011
Λουξεμβούργο,3037,0.2125,3037,0,0,0,ΟΚΤ,2011
Μάλτα,0,0.0,0,0,0,0,ΟΚΤ,2011
Ολλανδία,48825,3.416,47100,0,1725,0,ΟΚΤ,2011
Ουγγαρία,749,0.05243,262,0,487,0,ΟΚΤ,2011
Πολωνία,9681,0.6777,7047,0,0,2635,ΟΚΤ,2011
Πορτογαλία,0,0.0,0,0,0,0,ΟΚΤ,2011
Ρουμανία,21188,1.482,11502,0,547,9139,ΟΚΤ,2011
Σλοβακία,1978,0.1384,1711,0,267,0,ΟΚΤ,2011
Σλοβενία,525,0.03674,90,0,435,0,ΟΚΤ,2011
Σουηδία,29109,2.037,27941,0,277,891,ΟΚΤ,2011
Τσεχία,16842,1.179,13001,0,3842,0,ΟΚΤ,2011
Φινλανδία,25583,1.79,25583,0,0,0,ΟΚΤ,2011
Αλβανία,28648,2.004,231,0,273,28144,ΟΚΤ,2011
Ελβετία,62671,4.387,58231,0,4440,0,ΟΚΤ,2011
Νορβηγία,8219,0.575,8219,0,0,0,ΟΚΤ,2011
Ισλανδία,0,0.0,0,0,0,0,ΟΚΤ,2011
Ρωσία,60923,4.26,60200,0,229,494,ΟΚΤ,2011
Σερβία - Μαυροβούνιο,8959,0.627,181,0,0,8778,ΟΚΤ,2011
Λοιπά Κράτη Ευρώπης,69087,4.836,7396,0,847,60844,ΟΚΤ,2011
Ιαπωνία,585,0.04095,585,0,0,0,ΟΚΤ,2011
Ιράν,463,0.03238,189,0,274,0,ΟΚΤ,2011
Ισραήλ,35058,2.453,35058,0,0,0,ΟΚΤ,2011
Κίνα,4066,0.2844,4066,0,0,0,ΟΚΤ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΟΚΤ,2011
Ν. Κορέα,0,0.0,0,0,0,0,ΟΚΤ,2011
Τουρκία,58172,4.07,2740,0,3984,51449,ΟΚΤ,2011
Λοιπά κράτη Μ. Ανατολής,1188,0.0831,914,0,274,0,ΟΚΤ,2011
Λοιπά κράτη Ασίας,7030,0.492,2607,0,0,4423,ΟΚΤ,2011
Αίγυπτος - Σουδάν,434,0.03036,434,0,0,0,ΟΚΤ,2011
Νοτιοαφρικανική Ενωση,1566,0.10956,1566,0,0,0,ΟΚΤ,2011
Λοιπά κράτη Αφρικής,309,0.02164,0,0,309,0,ΟΚΤ,2011
Αργεντινή,0,0.0,0,0,0,0,ΟΚΤ,2011
Βραζιλία,6561,0.4592,6561,0,0,0,ΟΚΤ,2011
Μεξικό,0,0.0,0,0,0,0,ΟΚΤ,2011
Η.Π.Α.,66959,4.688,66742,0,217,0,ΟΚΤ,2011
Καναδάς,14590,1.021,14590,0,0,0,ΟΚΤ,2011
Λοιπά κράτη Αμερικής,1410,0.09863,1410,0,0,0,ΟΚΤ,2011
Αυστραλία,15860,1.11,15546,0,315,0,ΟΚΤ,2011
Λοιπά κράτη Ωκεανίας,488,0.03415,488,0,0,0,ΟΚΤ,2011
Αυστρία,1631,0.463,1281,0,350,0,ΙΑΝ,2012
Βέλγιο,2925,0.83,2115,0,810,0,ΙΑΝ,2012
Βουλγαρία,48775,13.84,4788,0,6488,37499,ΙΑΝ,2012
Γαλλία,9375,2.66,8309,0,837,229,ΙΑΝ,2012
Γερμανία,26758,7.594,21934,0,4455,369,ΙΑΝ,2012
Δανία,487,0.1383,373,0,114,0,ΙΑΝ,2012
Εσθονία,0,0.0,0,0,0,0,ΙΑΝ,2012
Ην. Βασίλειο,31947,9.07,31616,0,331,0,ΙΑΝ,2012
Ιρλανδία,402,0.1141,222,0,180,0,ΙΑΝ,2012
Ισπανία,1933,0.5483,1752,0,181,0,ΙΑΝ,2012
Ιταλία,19701,5.594,9748,0,9953,0,ΙΑΝ,2012
Κύπρος,20635,5.855,20423,0,212,0,ΙΑΝ,2012
Λεττονία,0,0.0,0,0,0,0,ΙΑΝ,2012
Λιθουανία,0,0.0,0,0,0,0,ΙΑΝ,2012
Λουξεμβούργο,808,0.2294,808,0,0,0,ΙΑΝ,2012
Μάλτα,0,0.0,0,0,0,0,ΙΑΝ,2012
Ολλανδία,5254,1.491,4759,0,495,0,ΙΑΝ,2012
Ουγγαρία,1264,0.3586,329,0,934,0,ΙΑΝ,2012
Πολωνία,3887,1.104,117,0,1613,2157,ΙΑΝ,2012
Πορτογαλία,0,0.0,0,0,0,0,ΙΑΝ,2012
Ρουμανία,9423,2.674,4127,0,201,5095,ΙΑΝ,2012
Σλοβακία,465,0.1318,465,0,0,0,ΙΑΝ,2012
Σλοβενία,115,0.03278,115,0,0,0,ΙΑΝ,2012
Σουηδία,2554,0.7246,2377,0,177,0,ΙΑΝ,2012
Τσεχία,729,0.207,261,0,101,367,ΙΑΝ,2012
Φινλανδία,540,0.1533,540,0,0,0,ΙΑΝ,2012
Αλβανία,50613,14.37,1497,0,444,48672,ΙΑΝ,2012
Ελβετία,3479,0.988,2413,0,1066,0,ΙΑΝ,2012
Νορβηγία,1493,0.4238,1493,0,0,0,ΙΑΝ,2012
Ισλανδία,0,0.0,0,0,0,0,ΙΑΝ,2012
Ρωσία,2680,0.7607,2569,0,111,0,ΙΑΝ,2012
Σερβία - Μαυροβούνιο,8878,2.52,5744,0,0,3134,ΙΑΝ,2012
Λοιπά Κράτη Ευρώπης,46915,13.31,1618,0,1179,44118,ΙΑΝ,2012
Ιαπωνία,0,0.0,0,0,0,0,ΙΑΝ,2012
Ιράν,0,0.0,0,0,0,0,ΙΑΝ,2012
Ισραήλ,3523,1.0,3523,0,0,0,ΙΑΝ,2012
Κίνα,974,0.2764,808,0,166,0,ΙΑΝ,2012
Λίβανος - Συρία,371,0.1053,371,0,0,0,ΙΑΝ,2012
Ν. Κορέα,432,0.12256,432,0,0,0,ΙΑΝ,2012
Τουρκία,23528,6.68,1741,0,2085,19702,ΙΑΝ,2012
Λοιπά κράτη Μ. Ανατολής,430,0.1219,430,0,0,0,ΙΑΝ,2012
Λοιπά κράτη Ασίας,1951,0.5537,1951,0,0,0,ΙΑΝ,2012
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΙΑΝ,2012
Νοτιοαφρικανική Ενωση,0,0.0,0,0,0,0,ΙΑΝ,2012
Λοιπά κράτη Αφρικής,378,0.1073,378,0,0,0,ΙΑΝ,2012
Αργεντινή,1299,0.3687,896,0,402,0,ΙΑΝ,2012
Βραζιλία,751,0.2131,751,0,0,0,ΙΑΝ,2012
Μεξικό,610,0.1732,610,0,0,0,ΙΑΝ,2012
Η.Π.Α.,10695,3.035,10152,0,542,0,ΙΑΝ,2012
Καναδάς,1448,0.411,1448,0,0,0,ΙΑΝ,2012
Λοιπά κράτη Αμερικής,232,0.0659,232,0,0,0,ΙΑΝ,2012
Αυστραλία,2033,0.577,2033,0,0,0,ΙΑΝ,2012
Λοιπά κράτη Ωκεανίας,0,0.0,0,0,0,0,ΙΑΝ,2012
Αυστρία,2440,0.917,1783,0,657,0,ΦΕΒ,2012
Βέλγιο,4241,1.594,3926,0,315,0,ΦΕΒ,2012
Βουλγαρία,34667,13.03,2923,0,7000,24743,ΦΕΒ,2012
Γαλλία,8442,3.174,7716,0,726,0,ΦΕΒ,2012
Γερμανία,22863,8.59,19688,0,3175,0,ΦΕΒ,2012
Δανία,465,0.1747,465,0,0,0,ΦΕΒ,2012
Εσθονία,0,0.0,0,0,0,0,ΦΕΒ,2012
Ην. Βασίλειο,19902,7.48,19508,0,190,204,ΦΕΒ,2012
Ιρλανδία,227,0.08527,227,0,0,0,ΦΕΒ,2012
Ισπανία,1581,0.594,1360,0,221,0,ΦΕΒ,2012
Ιταλία,10729,4.03,6477,0,4252,0,ΦΕΒ,2012
Κύπρος,18810,7.07,18810,0,0,0,ΦΕΒ,2012
Λεττονία,0,0.0,0,0,0,0,ΦΕΒ,2012
Λιθουανία,232,0.0872,232,0,0,0,ΦΕΒ,2012
Λουξεμβούργο,281,0.10547,281,0,0,0,ΦΕΒ,2012
Μάλτα,608,0.2284,608,0,0,0,ΦΕΒ,2012
Ολλανδία,4740,1.781,4377,0,363,0,ΦΕΒ,2012
Ουγγαρία,1646,0.6187,938,0,708,0,ΦΕΒ,2012
Πολωνία,2596,0.9756,0,0,891,1704,ΦΕΒ,2012
Πορτογαλία,266,0.1001,266,0,0,0,ΦΕΒ,2012
Ρουμανία,7583,2.85,2673,0,275,4635,ΦΕΒ,2012
Σλοβακία,593,0.223,593,0,0,0,ΦΕΒ,2012
Σλοβενία,255,0.09595,255,0,0,0,ΦΕΒ,2012
Σουηδία,1934,0.727,1934,0,0,0,ΦΕΒ,2012
Τσεχία,0,0.0,0,0,0,0,ΦΕΒ,2012
Φινλανδία,767,0.2883,767,0,0,0,ΦΕΒ,2012
Αλβανία,33329,12.52,2506,0,183,30640,ΦΕΒ,2012
Ελβετία,4034,1.517,3817,0,217,0,ΦΕΒ,2012
Νορβηγία,1242,0.4668,1242,0,0,0,ΦΕΒ,2012
Ισλανδία,0,0.0,0,0,0,0,ΦΕΒ,2012
Ρωσία,1758,0.6606,1758,0,0,0,ΦΕΒ,2012
Σερβία - Μαυροβούνιο,5520,2.074,2881,0,0,2639,ΦΕΒ,2012
Λοιπά Κράτη Ευρώπης,38219,14.37,2138,0,443,35639,ΦΕΒ,2012
Ιαπωνία,990,0.372,557,0,433,0,ΦΕΒ,2012
Ιράν,0,0.0,0,0,0,0,ΦΕΒ,2012
Ισραήλ,608,0.2284,608,0,0,0,ΦΕΒ,2012
Κίνα,836,0.3142,836,0,0,0,ΦΕΒ,2012
Λίβανος - Συρία,273,0.10266,273,0,0,0,ΦΕΒ,2012
Ν. Κορέα,273,0.10266,273,0,0,0,ΦΕΒ,2012
Τουρκία,19014,7.145,1580,0,3150,14284,ΦΕΒ,2012
Λοιπά κράτη Μ. Ανατολής,345,0.1296,345,0,0,0,ΦΕΒ,2012
Λοιπά κράτη Ασίας,3138,1.18,815,0,0,2322,ΦΕΒ,2012
Αίγυπτος - Σουδάν,259,0.0973,259,0,0,0,ΦΕΒ,2012
Νοτιοαφρικανική Ενωση,0,0.0,0,0,0,0,ΦΕΒ,2012
Λοιπά κράτη Αφρικής,838,0.315,838,0,0,0,ΦΕΒ,2012
Αργεντινή,577,0.2169,577,0,0,0,ΦΕΒ,2012
Βραζιλία,789,0.2964,789,0,0,0,ΦΕΒ,2012
Μεξικό,0,0.0,0,0,0,0,ΦΕΒ,2012
Η.Π.Α.,6171,2.318,6171,0,0,0,ΦΕΒ,2012
Καναδάς,1112,0.4177,928,0,183,0,ΦΕΒ,2012
Λοιπά κράτη Αμερικής,0,0.0,0,0,0,0,ΦΕΒ,2012
Αυστραλία,875,0.3289,875,0,0,0,ΦΕΒ,2012
Λοιπά κράτη Ωκεανίας,0,0.0,0,0,0,0,ΦΕΒ,2012
Αυστρία,1811,0.503,1495,0,316,0,ΜΑΡ,2012
Βέλγιο,5770,1.602,5553,0,217,0,ΜΑΡ,2012
Βουλγαρία,45041,12.51,2929,0,6817,35294,ΜΑΡ,2012
Γαλλία,14317,3.975,12268,0,2049,0,ΜΑΡ,2012
Γερμανία,30084,8.35,26534,0,3551,0,ΜΑΡ,2012
Δανία,1801,0.5,1801,0,0,0,ΜΑΡ,2012
Εσθονία,312,0.08655,312,0,0,0,ΜΑΡ,2012
Ην. Βασίλειο,21140,5.87,20361,0,779,0,ΜΑΡ,2012
Ιρλανδία,1810,0.5024,1679,0,131,0,ΜΑΡ,2012
Ισπανία,2276,0.632,2060,0,217,0,ΜΑΡ,2012
Ιταλία,10863,3.016,5565,0,5297,0,ΜΑΡ,2012
Κύπρος,27986,7.77,27986,0,0,0,ΜΑΡ,2012
Λεττονία,0,0.0,0,0,0,0,ΜΑΡ,2012
Λιθουανία,545,0.1514,214,0,331,0,ΜΑΡ,2012
Λουξεμβούργο,340,0.0943,340,0,0,0,ΜΑΡ,2012
Μάλτα,797,0.2214,466,0,331,0,ΜΑΡ,2012
Ολλανδία,7283,2.021,6704,0,579,0,ΜΑΡ,2012
Ουγγαρία,792,0.2198,227,0,565,0,ΜΑΡ,2012
Πολωνία,1187,0.3296,0,0,1187,0,ΜΑΡ,2012
Πορτογαλία,0,0.0,0,0,0,0,ΜΑΡ,2012
Ρουμανία,10271,2.852,3071,0,2477,4724,ΜΑΡ,2012
Σλοβακία,889,0.2468,226,0,663,0,ΜΑΡ,2012
Σλοβενία,262,0.0729,149,0,114,0,ΜΑΡ,2012
Σουηδία,1327,0.3684,1196,0,131,0,ΜΑΡ,2012
Τσεχία,357,0.099,357,0,0,0,ΜΑΡ,2012
Φινλανδία,679,0.1886,679,0,0,0,ΜΑΡ,2012
Αλβανία,43580,12.1,1928,0,331,41320,ΜΑΡ,2012
Ελβετία,4979,1.383,3952,0,1028,0,ΜΑΡ,2012
Νορβηγία,864,0.24,864,0,0,0,ΜΑΡ,2012
Ισλανδία,298,0.08264,298,0,0,0,ΜΑΡ,2012
Ρωσία,3109,0.8633,3109,0,0,0,ΜΑΡ,2012
Σερβία - Μαυροβούνιο,5268,1.463,477,0,341,4450,ΜΑΡ,2012
Λοιπά Κράτη Ευρώπης,49480,13.734,619,0,848,48013,ΜΑΡ,2012
Ιαπωνία,434,0.1204,434,0,0,0,ΜΑΡ,2012
Ιράν,451,0.1251,0,0,451,0,ΜΑΡ,2012
Ισραήλ,5829,1.618,5677,0,0,153,ΜΑΡ,2012
Κίνα,226,0.0628,226,0,0,0,ΜΑΡ,2012
Λίβανος - Συρία,1193,0.3313,1193,0,0,0,ΜΑΡ,2012
Ν. Κορέα,1388,0.3855,1232,0,156,0,ΜΑΡ,2012
Τουρκία,30566,8.484,2591,0,1138,26837,ΜΑΡ,2012
Λοιπά κράτη Μ. Ανατολής,2404,0.6675,2404,0,0,0,ΜΑΡ,2012
Λοιπά κράτη Ασίας,898,0.2493,732,0,166,0,ΜΑΡ,2012
Αίγυπτος - Σουδάν,717,0.1991,717,0,0,0,ΜΑΡ,2012
Νοτιοαφρικανική Ενωση,1153,0.32,1153,0,0,0,ΜΑΡ,2012
Λοιπά κράτη Αφρικής,463,0.1285,463,0,0,0,ΜΑΡ,2012
Αργεντινή,0,0.0,0,0,0,0,ΜΑΡ,2012
Βραζιλία,1188,0.3296,1188,0,0,0,ΜΑΡ,2012
Μεξικό,312,0.08655,312,0,0,0,ΜΑΡ,2012
Η.Π.Α.,12630,3.506,12131,0,499,0,ΜΑΡ,2012
Καναδάς,2698,0.749,2531,0,166,0,ΜΑΡ,2012
Λοιπά κράτη Αμερικής,400,0.111,400,0,0,0,ΜΑΡ,2012
Αυστραλία,1049,0.291,1049,0,0,0,ΜΑΡ,2012
Λοιπά κράτη Ωκεανίας,657,0.1825,312,0,0,346,ΜΑΡ,2012
Αυστρία,8019,1.281,4085,0,3934,0,ΑΠΡ,2012
Βέλγιο,16750,2.676,16324,0,426,0,ΑΠΡ,2012
Βουλγαρία,41857,6.688,2668,0,6066,33124,ΑΠΡ,2012
Γαλλία,68539,10.95,66812,0,1728,0,ΑΠΡ,2012
Γερμανία,71737,11.46,64151,0,6771,815,ΑΠΡ,2012
Δανία,2255,0.3604,2047,0,208,0,ΑΠΡ,2012
Εσθονία,0,0.0,0,0,0,0,ΑΠΡ,2012
Ην. Βασίλειο,44445,7.1,42471,0,780,1194,ΑΠΡ,2012
Ιρλανδία,627,0.10016,627,0,0,0,ΑΠΡ,2012
Ισπανία,25111,4.01,24731,0,380,0,ΑΠΡ,2012
Ιταλία,24158,3.86,14704,0,9209,245,ΑΠΡ,2012
Κύπρος,32554,5.203,32441,0,113,0,ΑΠΡ,2012
Λεττονία,317,0.05057,317,0,0,0,ΑΠΡ,2012
Λιθουανία,1499,0.2395,982,0,259,258,ΑΠΡ,2012
Λουξεμβούργο,1395,0.2229,1395,0,0,0,ΑΠΡ,2012
Μάλτα,801,0.128,801,0,0,0,ΑΠΡ,2012
Ολλανδία,10289,1.645,10012,0,277,0,ΑΠΡ,2012
Ουγγαρία,2644,0.4224,738,0,1905,0,ΑΠΡ,2012
Πολωνία,2055,0.3284,1942,0,113,0,ΑΠΡ,2012
Πορτογαλία,1698,0.2712,1698,0,0,0,ΑΠΡ,2012
Ρουμανία,14259,2.28,6466,0,2321,5472,ΑΠΡ,2012
Σλοβακία,0,0.0,0,0,0,0,ΑΠΡ,2012
Σλοβενία,382,0.061,382,0,0,0,ΑΠΡ,2012
Σουηδία,7031,1.123,6625,0,406,0,ΑΠΡ,2012
Τσεχία,1467,0.2344,1059,0,0,408,ΑΠΡ,2012
Φινλανδία,6467,1.033,6383,0,84,0,ΑΠΡ,2012
Αλβανία,32402,5.176,0,0,113,32289,ΑΠΡ,2012
Ελβετία,6791,1.085,5239,0,1552,0,ΑΠΡ,2012
Νορβηγία,2139,0.3418,2139,0,0,0,ΑΠΡ,2012
Ισλανδία,0,0.0,0,0,0,0,ΑΠΡ,2012
Ρωσία,13814,2.207,12834,0,0,980,ΑΠΡ,2012
Σερβία - Μαυροβούνιο,10344,1.653,1241,0,113,8991,ΑΠΡ,2012
Λοιπά Κράτη Ευρώπης,50613,8.086,1693,0,1662,47258,ΑΠΡ,2012
Ιαπωνία,264,0.04214,0,0,264,0,ΑΠΡ,2012
Ιράν,1035,0.1654,0,0,1035,0,ΑΠΡ,2012
Ισραήλ,7380,1.18,7380,0,0,0,ΑΠΡ,2012
Κίνα,371,0.05927,371,0,0,0,ΑΠΡ,2012
Λίβανος - Συρία,334,0.05344,334,0,0,0,ΑΠΡ,2012
Ν. Κορέα,0,0.0,0,0,0,0,ΑΠΡ,2012
Τουρκία,60329,9.64,3687,0,3599,53043,ΑΠΡ,2012
Λοιπά κράτη Μ. Ανατολής,2369,0.3784,2369,0,0,0,ΑΠΡ,2012
Λοιπά κράτη Ασίας,5965,0.953,5590,0,129,245,ΑΠΡ,2012
Αίγυπτος - Σουδάν,1021,0.1631,1021,0,0,0,ΑΠΡ,2012
Νοτιοαφρικανική Ενωση,1754,0.2803,1754,0,0,0,ΑΠΡ,2012
Λοιπά κράτη Αφρικής,1621,0.259,1621,0,0,0,ΑΠΡ,2012
Αργεντινή,0,0.0,0,0,0,0,ΑΠΡ,2012
Βραζιλία,1402,0.224,1402,0,0,0,ΑΠΡ,2012
Μεξικό,2058,0.3289,2058,0,0,0,ΑΠΡ,2012
Η.Π.Α.,26737,4.273,26737,0,0,0,ΑΠΡ,2012
Καναδάς,5699,0.9106,5699,0,0,0,ΑΠΡ,2012
Λοιπά κράτη Αμερικής,2561,0.4092,2302,0,259,0,ΑΠΡ,2012
Αυστραλία,2482,0.3965,2369,0,113,0,ΑΠΡ,2012
Λοιπά κράτη Ωκεανίας,0,0.0,0,0,0,0,ΑΠΡ,2012
Αυστρία,40707,1.992,39149,0,1558,0,ΙΟΥΝ,2012
Βέλγιο,28488,1.394,27974,0,514,0,ΙΟΥΝ,2012
Βουλγαρία,51076,2.5,3595,0,13636,33844,ΙΟΥΝ,2012
Γαλλία,120453,5.895,117665,0,2788,0,ΙΟΥΝ,2012
Γερμανία,318975,15.61,302558,0,9661,6756,ΙΟΥΝ,2012
Δανία,28691,1.404,28691,0,0,0,ΙΟΥΝ,2012
Εσθονία,0,0.0,0,0,0,0,ΙΟΥΝ,2012
Ην. Βασίλειο,296494,14.51,293636,0,2857,0,ΙΟΥΝ,2012
Ιρλανδία,2443,0.1195,2314,0,129,0,ΙΟΥΝ,2012
Ισπανία,23187,1.135,22718,0,469,0,ΙΟΥΝ,2012
Ιταλία,73002,3.572,63620,0,9382,0,ΙΟΥΝ,2012
Κύπρος,47616,2.33,47616,0,0,0,ΙΟΥΝ,2012
Λεττονία,425,0.02078,425,0,0,0,ΙΟΥΝ,2012
Λιθουανία,3097,0.1515,3097,0,0,0,ΙΟΥΝ,2012
Λουξεμβούργο,856,0.04187,515,0,341,0,ΙΟΥΝ,2012
Μάλτα,0,0.0,0,0,0,0,ΙΟΥΝ,2012
Ολλανδία,54984,2.691,53582,0,1403,0,ΙΟΥΝ,2012
Ουγγαρία,8979,0.4395,5943,0,439,2597,ΙΟΥΝ,2012
Πολωνία,20947,1.025,19327,0,448,1171,ΙΟΥΝ,2012
Πορτογαλία,3127,0.153,3021,0,106,0,ΙΟΥΝ,2012
Ρουμανία,30722,1.503,15399,0,2287,13037,ΙΟΥΝ,2012
Σλοβακία,14542,0.7114,14134,0,0,407,ΙΟΥΝ,2012
Σλοβενία,1776,0.0869,1776,0,0,0,ΙΟΥΝ,2012
Σουηδία,51313,2.512,51313,0,0,0,ΙΟΥΝ,2012
Τσεχία,57011,2.79,52804,0,917,3290,ΙΟΥΝ,2012
Φινλανδία,23476,1.148,23264,0,212,0,ΙΟΥΝ,2012
Αλβανία,36217,1.772,3032,0,0,33184,ΙΟΥΝ,2012
Ελβετία,35113,1.718,31552,0,3560,0,ΙΟΥΝ,2012
Νορβηγία,51039,2.498,51039,0,0,0,ΙΟΥΝ,2012
Ισλανδία,608,0.02975,608,0,0,0,ΙΟΥΝ,2012
Ρωσία,153047,7.49,148982,0,654,3412,ΙΟΥΝ,2012
Σερβία - Μαυροβούνιο,75118,3.676,1097,0,0,74021,ΙΟΥΝ,2012
Λοιπά Κράτη Ευρώπης,213496,10.445,27152,0,1143,185201,ΙΟΥΝ,2012
Ιαπωνία,1226,0.05997,1226,0,0,0,ΙΟΥΝ,2012
Ιράν,1194,0.0584,0,0,0,1194,ΙΟΥΝ,2012
Ισραήλ,14181,0.694,14181,0,0,0,ΙΟΥΝ,2012
Κίνα,2867,0.1403,2867,0,0,0,ΙΟΥΝ,2012
Λίβανος - Συρία,372,0.01817,372,0,0,0,ΙΟΥΝ,2012
Ν. Κορέα,487,0.02383,487,0,0,0,ΙΟΥΝ,2012
Τουρκία,62668,3.066,5299,0,5348,52021,ΙΟΥΝ,2012
Λοιπά κράτη Μ. Ανατολής,1517,0.0742,1517,0,0,0,ΙΟΥΝ,2012
Λοιπά κράτη Ασίας,5717,0.2798,5503,0,215,0,ΙΟΥΝ,2012
Αίγυπτος - Σουδάν,0,0.0,0,0,0,0,ΙΟΥΝ,2012
Νοτιοαφρικανική Ενωση,2412,0.11804,2412,0,0,0,ΙΟΥΝ,2012
Λοιπά κράτη Αφρικής,372,0.01817,372,0,0,0,ΙΟΥΝ,2012
Αργεντινή,4020,0.1967,4020,0,0,0,ΙΟΥΝ,2012
Βραζιλία,6271,0.307,6271,0,0,0,ΙΟΥΝ,2012
Μεξικό,2155,0.10547,2155,0,0,0,ΙΟΥΝ,2012
Η.Π.Α.,34496,1.6875,34281,0,215,0,ΙΟΥΝ,2012
Καναδάς,13614,0.666,13201,0,413,0,ΙΟΥΝ,2012
